epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.14,0.96256,2.70311,1.3794,0.25734,0.30288,0.18534,0.11282,1.31333,11.3963,1.9303,0.0672115,0.000331197,0.000331197
2,231.387,1.01707,2.03292,1.44091,0.31948,0.36951,0.27306,0.18333,1.16866,2.88373,1.941,0.0342109,0.000663881,0.000663881
3,342.731,1.00993,1.87424,1.45484,0.46188,0.46662,0.42651,0.27512,1.34756,2.38708,2.10309,0.00120764,0.000993968,0.000993968
4,453.291,0.95891,1.63156,1.41295,0.73617,0.68535,0.7698,0.58109,0.85444,1.18104,1.56902,0.000991232,0.000991232,0.000991232
5,564.178,0.90338,1.43691,1.36732,0.7169,0.67996,0.75752,0.55444,0.94455,1.19828,1.63566,0.000984449,0.000984449,0.000984449
6,674.037,0.86746,1.33565,1.34075,0.77801,0.76502,0.83998,0.65092,0.79994,0.93485,1.48445,0.000975773,0.000975773,0.000975773
7,784.686,0.83414,1.23226,1.3136,0.82624,0.75216,0.86083,0.66694,0.78375,0.89697,1.46055,0.000965239,0.000965239,0.000965239
8,894.866,0.81523,1.20303,1.3038,0.84502,0.80972,0.89517,0.69745,0.78872,0.77525,1.46345,0.000952889,0.000952889,0.000952889
9,1005.19,0.78793,1.12089,1.28098,0.82454,0.81069,0.89682,0.69825,0.79364,0.79421,1.43632,0.000938772,0.000938772,0.000938772
10,1115.3,0.77996,1.10037,1.27823,0.88212,0.78626,0.90291,0.70643,0.77357,0.76126,1.45526,0.000922942,0.000922942,0.000922942
11,1225.51,0.77382,1.07158,1.26858,0.87543,0.83149,0.92508,0.74898,0.70377,0.68382,1.37177,0.000905463,0.000905463,0.000905463
12,1336.11,0.75385,1.04057,1.25062,0.8799,0.84744,0.93415,0.74767,0.7188,0.65629,1.3935,0.000886404,0.000886404,0.000886404
13,1445.85,0.75203,1.01458,1.25326,0.89622,0.88184,0.95084,0.76556,0.70479,0.57349,1.3858,0.000865839,0.000865839,0.000865839
14,1556.41,0.73754,0.98445,1.24445,0.84291,0.78172,0.87431,0.69251,0.76793,0.79389,1.44191,0.000843851,0.000843851,0.000843851
15,1666.17,0.73545,0.9741,1.24454,0.90366,0.8616,0.94436,0.76258,0.70422,0.59022,1.36697,0.000820525,0.000820525,0.000820525
16,1776.16,0.72397,0.93969,1.23488,0.89031,0.83142,0.9227,0.72583,0.78599,0.65961,1.43487,0.000795954,0.000795954,0.000795954
17,1885.8,0.71233,0.91312,1.22497,0.8867,0.84514,0.92015,0.73548,0.74757,0.63495,1.42977,0.000770234,0.000770234,0.000770234
18,1995.7,0.7117,0.91528,1.22481,0.91228,0.87866,0.95542,0.78176,0.67462,0.53872,1.3455,0.000743468,0.000743468,0.000743468
19,2105.88,0.70271,0.87601,1.21578,0.91569,0.90558,0.96211,0.77194,0.70734,0.51648,1.37633,0.000715761,0.000715761,0.000715761
20,2216.03,0.68651,0.85197,1.20051,0.91673,0.88497,0.96167,0.78598,0.68415,0.50773,1.3567,0.000687222,0.000687222,0.000687222
21,2326.1,0.67339,0.83447,1.19385,0.93418,0.92299,0.96944,0.79318,0.66557,0.44202,1.37804,0.000657963,0.000657963,0.000657963
22,2436.62,0.67722,0.82508,1.19491,0.92846,0.9162,0.96936,0.78847,0.67526,0.46722,1.40041,0.000628101,0.000628101,0.000628101
23,2546.25,0.66681,0.8029,1.19199,0.94021,0.9088,0.97087,0.79486,0.6765,0.45597,1.3722,0.000597754,0.000597754,0.000597754
24,2656.29,0.66261,0.80236,1.19092,0.93567,0.92127,0.97295,0.79598,0.68501,0.44817,1.35871,0.00056704,0.00056704,0.00056704
25,2766.62,0.66268,0.78798,1.18713,0.94807,0.92512,0.97654,0.81088,0.65506,0.42212,1.33621,0.000536081,0.000536081,0.000536081
26,2877.21,0.64675,0.76551,1.17222,0.938,0.9325,0.97408,0.80479,0.65869,0.41785,1.34597,0.000505,0.000505,0.000505
27,2987.48,0.63936,0.75317,1.17322,0.93431,0.93162,0.97244,0.80113,0.65703,0.42122,1.36966,0.000473919,0.000473919,0.000473919
28,3097.16,0.63667,0.73881,1.16865,0.93478,0.9305,0.97295,0.80677,0.65043,0.41769,1.34159,0.00044296,0.00044296,0.00044296
29,3207.03,0.62523,0.7169,1.15796,0.9371,0.93315,0.9781,0.8151,0.63317,0.39594,1.3255,0.000412246,0.000412246,0.000412246
30,3317.2,0.6217,0.70715,1.15203,0.94629,0.93931,0.98075,0.81809,0.63775,0.3785,1.33403,0.000381899,0.000381899,0.000381899
31,3427.67,0.61843,0.69564,1.1536,0.95457,0.94579,0.98297,0.82483,0.63322,0.35825,1.33623,0.000352037,0.000352037,0.000352037
32,3537.75,0.60359,0.6663,1.14304,0.95563,0.94507,0.98205,0.82195,0.65217,0.3729,1.33002,0.000322778,0.000322778,0.000322778
33,3647.73,0.59757,0.65476,1.13826,0.96084,0.93691,0.98109,0.82293,0.64062,0.36046,1.34763,0.000294239,0.000294239,0.000294239
34,3757.38,0.59549,0.64529,1.13901,0.96128,0.95344,0.98363,0.82621,0.63396,0.34747,1.34256,0.000266532,0.000266532,0.000266532
35,3867.71,0.58555,0.64227,1.13038,0.96894,0.95688,0.98659,0.83362,0.61469,0.32827,1.33113,0.000239766,0.000239766,0.000239766
36,3977.77,0.58301,0.62644,1.12624,0.96407,0.9602,0.98641,0.83381,0.61956,0.33032,1.33451,0.000214046,0.000214046,0.000214046
37,4087.71,0.56553,0.60776,1.11807,0.96683,0.96242,0.98552,0.83534,0.6215,0.32851,1.3266,0.000189475,0.000189475,0.000189475
38,4198.06,0.56761,0.59543,1.11838,0.96453,0.96322,0.98635,0.83521,0.61952,0.32357,1.3245,0.000166149,0.000166149,0.000166149
39,4307.66,0.56089,0.57825,1.11529,0.96449,0.96223,0.98793,0.8409,0.61249,0.31131,1.32475,0.000144161,0.000144161,0.000144161
40,4418.32,0.55086,0.5744,1.10399,0.96783,0.96893,0.98796,0.84187,0.61912,0.30618,1.31494,0.000123596,0.000123596,0.000123596
41,4528.51,0.54906,0.56747,1.1062,0.97212,0.96682,0.98814,0.84257,0.61494,0.30603,1.3369,0.000104537,0.000104537,0.000104537
42,4639.16,0.53707,0.54365,1.0932,0.96907,0.96343,0.98824,0.84112,0.61132,0.30588,1.33356,8.70577e-05,8.70577e-05,8.70577e-05
43,4748.84,0.53478,0.54879,1.09267,0.96934,0.96581,0.98825,0.84455,0.60941,0.30083,1.33447,7.12282e-05,7.12282e-05,7.12282e-05
44,4859.12,0.52623,0.54111,1.09187,0.97468,0.96611,0.98982,0.84857,0.60562,0.29278,1.32724,5.71106e-05,5.71106e-05,5.71106e-05
45,4969.15,0.52666,0.53181,1.09,0.97562,0.96638,0.98951,0.84689,0.61073,0.29356,1.33079,4.47606e-05,4.47606e-05,4.47606e-05
46,5079.08,0.51838,0.51994,1.08712,0.9735,0.96893,0.9893,0.84778,0.60866,0.28977,1.33,3.4227e-05,3.4227e-05,3.4227e-05
47,5188.61,0.51573,0.51078,1.08211,0.97228,0.9725,0.98965,0.84808,0.60825,0.2874,1.33507,2.55513e-05,2.55513e-05,2.55513e-05
48,5298.54,0.51023,0.50979,1.07922,0.97258,0.97106,0.98941,0.84908,0.60869,0.2884,1.33741,1.87678e-05,1.87678e-05,1.87678e-05
49,5408.39,0.50864,0.50652,1.07525,0.96981,0.97154,0.9895,0.84944,0.60752,0.2881,1.3333,1.39032e-05,1.39032e-05,1.39032e-05
50,5518.14,0.5152,0.50716,1.07895,0.97573,0.96606,0.98938,0.8493,0.60553,0.28675,1.33165,1.09768e-05,1.09768e-05,1.09768e-05
